"LogMode","MaximumSizeInBytes","RecordCount","LogName","TimeCreated","LevelDisplayName"
"Circular","1052672","247","Microsoft-Windows-Ntfs/WHC","01.12.2024 21:37:11","Сведения"
"Circular","33554432","5106","Microsoft-Windows-Ntfs/Operational","12.12.2024 8:55:39","Сведения"
"Circular","33554432","5106","Microsoft-Windows-Ntfs/Operational","12.12.2024 8:55:33","Сведения"
"Circular","33554432","5106","Microsoft-Windows-Ntfs/Operational","12.12.2024 8:55:33","Сведения"
"Circular","1052672","142","Microsoft-Windows-NlaSvc/Operational","11.12.2024 8:46:35","Ошибка"
"Circular","1052672","142","Microsoft-Windows-NlaSvc/Operational","11.12.2024 8:46:31","Ошибка"
"Circular","1052672","142","Microsoft-Windows-NlaSvc/Operational","01.12.2024 18:42:03","Ошибка"
"Circular","1052672","2212","Microsoft-Windows-NetworkProfile/Operational","12.12.2024 10:36:38","Сведения"
"Circular","1052672","2212","Microsoft-Windows-NetworkProfile/Operational","12.12.2024 10:36:34","Сведения"
"Circular","1052672","2212","Microsoft-Windows-NetworkProfile/Operational","12.12.2024 10:36:25","Сведения"
"Circular","1052672","51","Microsoft-Windows-NetworkLocationWizard/Operational","10.12.2024 11:20:20","Сведения"
"Circular","1052672","51","Microsoft-Windows-NetworkLocationWizard/Operational","23.11.2024 8:45:07","Сведения"
"Circular","1052672","51","Microsoft-Windows-NetworkLocationWizard/Operational","18.11.2024 8:52:03","Сведения"
"Circular","1052672","2457","Microsoft-Windows-NCSI/Operational","12.12.2024 10:36:37","Сведения"
"Circular","1052672","2457","Microsoft-Windows-NCSI/Operational","12.12.2024 10:36:31","Сведения"
"Circular","1052672","2457","Microsoft-Windows-NCSI/Operational","12.12.2024 10:36:23","Сведения"
"Circular","1052672","86","Microsoft-Windows-NcdAutoSetup/Operational","01.12.2024 18:41:55","Сведения"
"Circular","1052672","86","Microsoft-Windows-NcdAutoSetup/Operational","01.12.2024 18:41:55","Сведения"
"Circular","1052672","86","Microsoft-Windows-NcdAutoSetup/Operational","29.11.2024 10:52:13","Сведения"
"Circular","1052672","19","Microsoft-Windows-MUI/Operational","12.10.2024 11:55:30","Сведения"
"Circular","1052672","19","Microsoft-Windows-MUI/Operational","18.09.2024 9:25:33","Сведения"
"Circular","1052672","19","Microsoft-Windows-MUI/Operational","17.06.2024 9:13:21","Сведения"
"Circular","1052672","1479","Microsoft-Windows-ModernDeployment-Diagnostics-Provider/ManagementService","13.01.2024 6:28:05","Ошибка"
"Circular","1052672","1479","Microsoft-Windows-ModernDeployment-Diagnostics-Provider/ManagementService","13.01.2024 6:28:05","Ошибка"
"Circular","1052672","1479","Microsoft-Windows-ModernDeployment-Diagnostics-Provider/ManagementService","13.01.2024 6:23:25","Ошибка"
"Circular","1052672","5","Microsoft-Windows-ModernDeployment-Diagnostics-Provider/Autopilot","26.07.2023 20:00:04","Предупреждение"
